id,status,evidence,reprod,p,logic_violation,unit_violation,chain_hash
DET-001,PASS,1.0,1.0,0.001,0.0,0.0,5aef5e8e6ca93d1c…
UNIT-101,PASS,1.0,1.0,0.001,0.0,0.0,7ad6b2c5e40a2d5e…
SMT-201,PASS,1.0,1.0,0.001,0.0,0.0,b6b2c66aaba6faae…
SMT-202,PASS,1.0,1.0,0.001,0.0,0.0,52dbe2ce15dd6ccb…
ADV-301,REFUSE,,,,,,ca6042168d405cf9…
EVID-401,PASS,1.0,1.0,0.001,0.0,0.0,bdbfdbc5fecbe40c…
CHAIN-501,PASS,1.0,1.0,0.001,0.0,0.0,b00070fd59ab2fec…
NT-PRP-601,PASS,1.0,1.0,0.001,0.0,0.0,3d578f966cd329de…
NT-GCD-602,PASS,1.0,1.0,0.001,0.0,0.0,fd6da7c5e3ee944b…
LA-PSD-701,PASS,1.0,1.0,0.001,0.0,0.0,57a3c689c6ebbf46…
PHYS-UNIT-801,PASS,1.0,1.0,0.001,0.0,0.0,49a3c0597c53e8fb…
CHEM-GAS-802,PASS,1.0,1.0,0.001,0.0,0.0,82aeb6d6aef04c7e…
OPT-LP-901,PASS,1.0,1.0,0.001,0.0,0.0,3ef7b75ec760915c…
SAT-1001,PASS,1.0,1.0,0.001,0.0,0.0,337c0ceac1e5795f…
COMB-1101,PASS,1.0,1.0,0.001,0.0,0.0,46e2145a1c2edf48…
STAT-1201,REFUSE,0.0,0.0,0.36820161732669626,0.0,0.0,b99a333cdbc8e52f…
EQ-SYM-1301,PASS,1.0,1.0,0.001,0.0,0.0,631c90a2a4049c1d…
SMT-VAL-2101,PASS,1.0,1.0,0.001,0.0,0.0,89e6e9000027c3f4…
SMT-UNSAT-2102,PASS,1.0,1.0,0.001,0.0,0.0,2bbe560f629304a4…
ILP-OPT-2201,PASS,1.0,1.0,0.001,0.0,0.0,35ebc12b2a797da0…
GRAPH-MIS-2301,PASS,1.0,1.0,0.001,0.0,0.0,205770cb813b0a17…
GRAPH-MAXCUT-2316,PASS,1.0,1.0,0.001,0.0,0.0,e3bb9963ca68469e…
PHYS-ELASTIC-2401,REFUSE,0.0,0.0,0.5,0.0,0.0,77c8fd38e150ead2…
LIN-SOLVE-2501,PASS,1.0,1.0,0.001,0.0,0.0,6836c0d88fbafd52…
DIFF-ID-2601,PASS,1.0,1.0,0.001,0.0,0.0,f534760d06f93917…
